ERROR 2025-05-15 23:02:56,639 custom_drug_service 20004 39144 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:02:57,025 custom_drug_service 20004 39144 Invalid species ID: 99999
ERROR 2025-05-15 23:02:57,214 custom_drug_service 20004 39144 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:02:57,391 custom_drug_service 20004 39144 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:02:57,577 custom_drug_service 20004 39144 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:02:57,704 custom_drug_service 20004 39144 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:05:52,730 custom_drug_service 31280 22372 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:05:53,061 custom_drug_service 31280 22372 Invalid species ID: 99999
ERROR 2025-05-15 23:05:53,177 custom_drug_service 31280 22372 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:05:53,329 custom_drug_service 31280 22372 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:05:53,479 custom_drug_service 31280 22372 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:05:53,605 custom_drug_service 31280 22372 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:07:41,139 custom_drug_service 36228 29408 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:07:41,488 custom_drug_service 36228 29408 Invalid species ID: 99999
ERROR 2025-05-15 23:07:41,602 custom_drug_service 36228 29408 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:07:41,718 custom_drug_service 36228 29408 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:07:41,835 custom_drug_service 36228 29408 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:07:41,944 custom_drug_service 36228 29408 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:18:00,577 custom_drug_service 6592 19040 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:18:00,887 custom_drug_service 6592 19040 Invalid species ID: 99999
ERROR 2025-05-15 23:18:01,013 custom_drug_service 6592 19040 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:18:01,140 custom_drug_service 6592 19040 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:18:01,335 custom_drug_service 6592 19040 Error creating custom drug: 'measurement_target'
ERROR 2025-05-15 23:18:01,506 custom_drug_service 6592 19040 Error creating custom drug: 'measurement_target'
INFO 2025-05-15 23:22:43,125 custom_drug_service 35948 39416 Custom drug created: Test Drug (ID: 7) by user None
ERROR 2025-05-15 23:22:43,245 custom_drug_service 35948 39416 Invalid species ID: 99999
INFO 2025-05-15 23:22:43,373 custom_drug_service 35948 39416 Custom drug created: Test Drug (ID: 8) by user None
INFO 2025-05-15 23:22:43,381 custom_drug_service 35948 39416 Custom drug updated: Updated Drug Name (ID: 8) by user None
INFO 2025-05-15 23:22:43,503 custom_drug_service 35948 39416 Custom drug created: Test Drug (ID: 9) by user None
INFO 2025-05-15 23:22:43,696 custom_drug_service 35948 39416 Custom drug created: Test Drug (ID: 10) by user None
INFO 2025-05-15 23:22:43,699 custom_drug_service 35948 39416 Custom drug deleted: Test Drug (ID: 10) by user None
INFO 2025-05-15 23:22:43,821 custom_drug_service 35948 39416 Custom drug created: Test Drug (ID: 11) by user None
INFO 2025-05-15 23:24:00,460 custom_drug_service 3296 37088 Custom drug created: Test Drug (ID: 14) by user None
ERROR 2025-05-15 23:24:00,568 custom_drug_service 3296 37088 Invalid species ID: 99999
INFO 2025-05-15 23:24:00,697 custom_drug_service 3296 37088 Custom drug created: Test Drug (ID: 15) by user None
INFO 2025-05-15 23:24:00,708 custom_drug_service 3296 37088 Custom drug updated: Updated Drug Name (ID: 15) by user None
INFO 2025-05-15 23:24:00,827 custom_drug_service 3296 37088 Custom drug created: Test Drug (ID: 16) by user None
INFO 2025-05-15 23:24:01,034 custom_drug_service 3296 37088 Custom drug created: Test Drug (ID: 17) by user None
INFO 2025-05-15 23:24:01,038 custom_drug_service 3296 37088 Custom drug deleted: Test Drug (ID: 17) by user None
INFO 2025-05-15 23:24:01,177 custom_drug_service 3296 37088 Custom drug created: Test Drug (ID: 18) by user None
INFO 2025-05-15 23:26:08,618 custom_drug_service 37500 15012 Custom drug created: Test Drug (ID: 23) by user None
ERROR 2025-05-15 23:26:08,728 custom_drug_service 37500 15012 Invalid species ID: 99999
INFO 2025-05-15 23:26:08,867 custom_drug_service 37500 15012 Custom drug created: Test Drug (ID: 24) by user None
INFO 2025-05-15 23:26:08,875 custom_drug_service 37500 15012 Custom drug updated: Updated Drug Name (ID: 24) by user None
INFO 2025-05-15 23:26:09,008 custom_drug_service 37500 15012 Custom drug created: Test Drug (ID: 25) by user None
